"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Hull North","33291","Altered","Lab","13044","LD","17132","6"
"Hull West & Hessle","31505","Altered","Lab","13378","Con","16142","6"
"Huntingdon","54266","Unaltered","Con","26516","Con","30049","6"
"Hyndburn","42672","Altered","Lab","17531","Con","23066","8"
"Ilford North","47018","Unaltered","Con","21506","Con","24378","5"
"Ilford South","51191","Unaltered","Lab","25301","Lab","26299","4"
"Inverclyde","37512","Unaltered","Lab","20993","Lab","20993","1"
"Inverness, Nairn, Badenoch & Strathspey","47086","Unaltered","LD","19172","LD","26239","7"
"Ipswich","46941","Altered","Con","18371","Lab","25623","8"
"Isle of Wight","70264","Unaltered","Con","32810","Con","35207","8"
"Islington North","44554","Unaltered","Lab","24276","Lab","24276","1"
"Islington South & Finsbury","43555","Altered","Lab","18407","LD","21582","6"
"Islwyn","34684","Unaltered","Lab","17069","Lab","19786","6"
"Jarrow","38784","Unaltered","Lab","20910","Lab","20910","1"
"Keighley","47692","Unaltered","Con","20003","Con","26240","5"
"Kenilworth & Southam","48431","Unaltered","Con","25945","Con","25945","1"
"Kensington","35150","Unaltered","Con","17595","Con","17595","1"
"Kettering","47328","Unaltered","Con","23247","Con","23957","3"
"Kilmarnock & Loudoun","46553","Unaltered","Lab","24460","Lab","24460","1"
"Kingston & Surbiton","57111","Unaltered","LD","28428","LD","28927","4"
"Kingswood","47906","Unaltered","Con","19362","Con","26146","6"
"Kirkcaldy & Cowdenbeath","45802","Unaltered","Lab","29559","Lab","29559","1"
"Knowsley","44658","Unaltered","Lab","31650","Lab","31650","1"
"Lagan Valley","36540","Unaltered","DUP","18199","DUP","20284","5"
"Lanark & Hamilton East","46554","Unaltered","Lab","23258","Lab","25931","4"
"Lancashire West","48473","Unaltered","Lab","21883","Lab","25707","5"
"Lancaster & Fleetwood","42701","Altered","Con","15404","Lab","23073","6"
"Leeds Central","37394","Unaltered","Lab","18434","Lab","22347","5"
"Leeds East","37813","Unaltered","Lab","19056","Lab","19056","1"
"Leeds North East","47535","Unaltered","Lab","20287","Lab","27231","5"
"Leeds North West","43483","Unaltered","LD","20653","LD","30166","7"
"Leeds West","38752","Unaltered","Lab","16389","Lab","27594","5"
"Leicester East","47995","Unaltered","Lab","25804","Lab","25804","1"
"Leicester South","47124","Altered","Lab","21479","LD","23310","5"
"Leicester West","35819","Altered","Lab","13745","Con","18835","9"
"Leicestershire North West","51952","Unaltered","Con","23147","Con","27397","3"
"Leicestershire South","54577","Unaltered","Con","27000","Con","28501","2"
"Leigh","44332","Unaltered","Lab","21295","Lab","23355","7"
"Lewes","50088","Unaltered","LD","26048","LD","26048","1"
"Lewisham Deptford","41220","Unaltered","Lab","22132","Lab","22132","1"
"Lewisham East","41719","Altered","Lab","17966","LD","21600","6"
"Lewisham West & Penge","45028","Altered","Lab","18501","LD","24621","5"
"Leyton & Wanstead","40159","Altered","Lab","17511","LD","20181","7"
"Lichfield","51563","Unaltered","Con","28048","Con","28048","1"
"Lincoln","45721","Unaltered","Con","17163","Con","27081","6"
"Linlithgow & Falkirk East","51450","Unaltered","Lab","25634","Lab","32223","3"
"Liverpool Riverside","38801","Unaltered","Lab","22998","Lab","22998","1"
"Liverpool Walton","34335","Unaltered","Lab","24709","Lab","24709","1"
"Liverpool Wavertree","37914","Unaltered","Lab","20132","Lab","20132","1"
"Liverpool West Derby","35784","Unaltered","Lab","22953","Lab","22953","1"
"Livingston","47907","Unaltered","Lab","23215","Lab","27447","6"
"Llanelli","37461","Unaltered","Lab","15916","Lab","16875","4"
"Londonderry East","34950","Unaltered","DUP","12097","DUP","16162","5"
"Loughborough","52838","Unaltered","Con","21971","Con","32188","4"
"Louth & Horncastle","50494","Unaltered","Con","25065","Con","25582","2"
"Ludlow","48732","Unaltered","Con","25720","Con","25720","1"
"Luton North","43018","Unaltered","Lab","21192","Lab","21549","2"
"Luton South","42216","Altered","Lab","14725","Con","21869","11"
"Macclesfield","50059","Unaltered","Con","23503","Con","24921","5"
"Maidenhead","53720","Unaltered","Con","31937","Con","31937","1"
"Maidstone & The Weald","48928","Unaltered","Con","23491","Con","25771","5"
"Makerfield","43771","Unaltered","Lab","20700","Lab","27782","5"
"Maldon","47895","Unaltered","Con","28661","Con","28661","1"
"Manchester Central","39927","Unaltered","Lab","21059","Lab","21059","1"
"Manchester Gorton","38325","Unaltered","Lab","19211","Lab","19211","1"
"Manchester Withington","45031","Unaltered","LD","20110","LD","25715","6"
"Mansfield","48395","Unaltered","Lab","18753","Lab","24376","5"
"Meon Valley","51238","Unaltered","Con","28818","Con","28818","1"
"Meriden","52162","Unaltered","Con","26956","Con","26956","1"
"Merthyr Tydfil & Rhymney","32076","Unaltered","Lab","14007","Lab","15235","7"
"Middlesbrough","33455","Unaltered","Lab","15351","Lab","18708","5"
"Middlesbrough South & Cleveland East","46214","Altered","Lab","18138","Con","25002","5"
"Midlothian","39242","Unaltered","Lab","18449","Lab","18899","7"
"Milton Keynes North","53888","Unaltered","Con","23419","Con","35522","8"
"Milton Keynes South","55333","Unaltered","Con","23034","Con","31812","7"
"Mitcham & Morden","43797","Unaltered","Lab","24722","Lab","24722","1"
"Mole Valley","54324","Unaltered","Con","31263","Con","31263","1"
"Monmouth","46519","Unaltered","Con","22466","Con","23592","3"
"Montgomeryshire","33813","Unaltered","Con","13976","Con","17596","6"
"Moray","41004","Altered","SNP","16273","Con","17724","4"
"Morecambe & Lunesdale","43436","Altered","Con","18035","Lab","22127","4"
"Morley & Outwood","48856","Altered","Lab","18365","Con","26405","4"
"Motherwell & Wishaw","39123","Unaltered","Lab","23910","Lab","23910","1"
"Na h-Eileanan an Iar (Western Isles)","14717","Unaltered","SNP","6723","SNP","6723","4"
"Neath","37122","Unaltered","Lab","17172","Lab","19958","4"
"New Forest East","50036","Unaltered","Con","26443","Con","26443","1"
"New Forest West","47572","Unaltered","Con","27980","Con","27980","1"
"Newark","51228","Unaltered","Con","27590","Con","27590","1"
"Newbury","58589","Unaltered","Con","33057","Con","33057","1"
"Newcastle-under-Lyme","43191","Unaltered","Lab","16393","Lab","22692","3"
"Newcastle upon Tyne Central","34157","Unaltered","Lab","15694","Lab","22315","5"
"Newcastle upon Tyne East","37840","Altered","Lab","17043","LD","18962","5"
"Newcastle upon Tyne North","43946","Altered","Lab","17950","LD","22664","5"
"Newport East","34448","Altered","Lab","12744","LD","17060","6"
"Newport West","39720","Altered","Lab","16389","Con","20682","6"
"Newry & Armagh","44906","Unaltered","SF","18857","SF","27679","5"
"Newton Abbot","48283","Unaltered","Con","20774","Con","23862","5"
"Norfolk Mid","50765","Unaltered","Con","25123","Con","26384","2"
"Norfolk North","49661","Unaltered","LD","27554","LD","27554","1"
"Norfolk North West","47800","Unaltered","Con","25916","Con","25916","1"
"Norfolk South","54993","Unaltered","Con","27133","Con","27961","3"
"Norfolk South West","49150","Unaltered","Con","23753","Con","25075","3"
"Normanton, Pontefract & Castleford","46239","Unaltered","Lab","22293","Lab","28009","4"
"Northampton North","40271","Unaltered","Con","13735","Con","21894","8"
"Northampton South","38978","Unaltered","Con","15917","Con","26011","9"
"Northamptonshire South ","59890","Unaltered","Con","33081","Con","33081","1"
"Norwich North","42573","Unaltered","Con","17280","Con","23817","7"
"Norwich South","47551","Unaltered","LD","13960","LD","28430","6"
"Nottingham East","33112","Unaltered","Lab","15022","Lab","24003","5"
"Nottingham North","34285","Unaltered","Lab","16646","Lab","21072","4"
"Nottingham South","40789","Altered","Lab","15209","Con","20305","5"
"Nuneaton","44646","Unaltered","Con","18536","Con","22959","3"
"Ochil & South Perthshire","50469","Unaltered","Lab","19131","Lab","25494","5"
"Ogmore","34650","Unaltered","Lab","18644","Lab","18644","1"
"Old Bexley & Sidcup","45492","Unaltered","Con","24625","Con","24625","1"
"Oldham East & Saddleworth","44520","Altered","Lab","14186","Con","22709","5"
"Oldham West & Royton","42910","Unaltered","Lab","19503","Lab","26342","5"
"Orkney & Shetland","19346","Unaltered","LD","11989","LD","11989","1"
"Orpington","48911","Unaltered","Con","29200","Con","29200","1"
"Oxford East","51651","Altered","Lab","21938","LD","27372","6"
"Oxford West & Abingdon","56480","Altered","Con","23906","LD","30598","5"
"Paisley & Renfrewshire North","43707","Unaltered","Lab","23613","Lab","23613","1"
"Paisley & Renfrewshire South","39998","Unaltered","Lab","23842","Lab","23842","1"
"Pendle","45045","Unaltered","Con","17512","Con","28703","5"
"Penistone & Stocksbridge","46516","Unaltered","Lab","17565","Lab","24862","5"
"Penrith & The Border","45087","Unaltered","Con","24071","Con","24071","1"
"Perth & North Perthshire","48268","Altered","SNP","19118","Con","19174","4"
"Peterborough","44927","Unaltered","Con","18133","Con","28524","6"
"Plymouth Moor View","41526","Altered","Lab","15433","Con","23696","6"
"Plymouth Sutton & Devonport","43894","Unaltered","Con","15050","Con","23369","6"
"Pontypridd","36671","Altered","Lab","14220","LD","18895","7"
"Poole","47436","Unaltered","Con","22532","Con","23720","3"
"Poplar & Limehouse","46700","Unaltered","Lab","18679","Lab","23801","9"
"Portsmouth North","44118","Unaltered","Con","19533","Con","22385","5"
"Portsmouth South","41264","Unaltered","LD","18921","LD","25277","7"
"Preseli Pembrokeshire","39602","Unaltered","Con","16944","Con","23503","4"
"Preston","32505","Unaltered","Lab","15668","Lab","23603","5"
"Pudsey","49083","Unaltered","Con","18874","Con","31868","4"
"Putney","40785","Unaltered","Con","21223","Con","21223","1"
"Rayleigh & Wickford","52343","Unaltered","Con","30257","Con","30257","1"
"Reading East","49985","Altered","Con","21269","LD","27462","6"
"Reading West","47530","Unaltered","Con","20523","Con","24381","5"
"Redcar","41963","Unaltered","LD","18955","LD","24745","5"
"Redditch","44018","Unaltered","Con","19138","Con","23812","9"
"Reigate","49978","Unaltered","Con","26688","Con","26688","1"
"Renfrewshire East","51181","Unaltered","Lab","25987","Lab","25987","1"
"Rhondda","31072","Unaltered","Lab","17183","Lab","17183","1"
"Ribble Valley","52287","Unaltered","Con","26298","Con","26298","1"
"Richmond (Yorks)","53412","Unaltered","Con","33541","Con","33541","1"
"Richmond Park","59268","Unaltered","Con","29461","Con","30263","5"
"Rochdale","45907","Altered","Lab","16699","LD","24115","6"
"Rochester & Strood","47971","Unaltered","Con","23604","Con","25786","3"
"Rochford & Southend East","41631","Unaltered","Con","19509","Con","21365","4"
"Romford","46481","Unaltered","Con","26031","Con","26031","1"
"Romsey & Southampton North","48939","Unaltered","Con","24345","Con","25634","2"
"Ross, Skye & Lochaber","34838","Unaltered","LD","18335","LD","18335","1"
"Rossendale & Darwen","47128","Unaltered","Con","19691","Con","27272","7"
"Rother Valley","46758","Altered","Lab","19147","Con","27611","4"
"Rotherham","37506","Unaltered","Lab","16741","Lab","19779","5"
"Rugby","47468","Unaltered","Con","20901","Con","29737","5"
"Ruislip, Northwood & Pinner","50205","Unaltered","Con","28866","Con","28866","1"
"Runnymede & Weybridge","48150","Unaltered","Con","26915","Con","26915","1"
"Rushcliffe","53687","Unaltered","Con","27470","Con","27470","1"
"Rutherglen & Hamilton West","46981","Unaltered","Lab","28566","Lab","28566","1"
"Rutland & Melton","55220","Unaltered","Con","28228","Con","28228","1"
"Saffron Walden","54369","Unaltered","Con","30155","Con","30155","1"
"St Albans","52835","Altered","Con","21533","LD","29274","4"
"St Austell & Newquay","47238","Unaltered","LD","20189","LD","23575","5"
"St Helens North","44556","Unaltered","Lab","23041","Lab","23041","1"
"St Helens South & Whiston","46081","Unaltered","Lab","24364","Lab","24364","1"
"St Ives","45921","Unaltered","LD","19619","LD","24678","6"
"Salford & Eccles","41533","Unaltered","Lab","16655","Lab","27585","7"
"Salisbury","48481","Unaltered","Con","23859","Con","24624","5"
"Scarborough & Whitby","49282","Unaltered","Con","21108","Con","29526","7"
"Scunthorpe","37034","Altered","Lab","14640","Con","18654","5"
"Sedgefield","40222","Unaltered","Lab","18141","Lab","22104","5"
"Sefton Central","48463","Unaltered","Lab","20307","Lab","25166","3"
"Selby & Ainsty","51728","Unaltered","Con","25562","Con","26067","2"
"Sevenoaks","49408","Unaltered","Con","28076","Con","28076","1"
"Sheffield Brightside & Hillsborough","38914","Unaltered","Lab","21400","Lab","21400","1"
"Sheffield Central","41468","Altered","Lab","17138","LD","21929","6"
"Sheffield Hallam","51135","Unaltered","LD","27324","LD","27324","1"
"Sheffield Heeley","40871","Altered","Lab","17409","LD","18683","5"
"Sheffield South East","41408","Unaltered","Lab","20169","Lab","25104","5"
"Sherwood","48954","Unaltered","Con","19211","Con","26092","5"
"Shipley","49427","Unaltered","Con","24002","Con","26470","3"
"Shrewsbury & Atcham","53045","Altered","Con","23313","LD","26572","6"
"Shropshire North","51869","Unaltered","Con","26692","Con","26692","1"
"Sittingbourne & Sheppey","48578","Unaltered","Con","24313","Con","24313","1"
"Skipton & Ripon","54724","Unaltered","Con","27685","Con","27685","1"
"Sleaford & North Hykeham","59530","Unaltered","Con","30719","Con","30719","1"
"Slough","47742","Unaltered","Lab","21884","Lab","25932","5"
"Solihull","55129","Unaltered","LD","23635","LD","28526","5"
"Somerset North","57941","Unaltered","Con","28549","Con","30806","2"
"Somerset North East","51203","Unaltered","Con","21130","Con","28610","4"
"Somerton & Frome","60612","Unaltered","LD","28793","LD","31468","4"
"South Holland & The Deepings","50188","Unaltered","Con","29639","Con","29639","1"
"South Ribble","51458","Unaltered","Con","23396","Con","26345","3"
"South Shields","36518","Unaltered","Lab","18995","Lab","18995","1"
"Southampton Itchen","44412","Unaltered","Lab","16326","Lab","23584","5"
"Southampton Test","44187","Altered","Lab","17001","Con","23729","5"
"Southend West","43606","Unaltered","Con","20086","Con","23679","6"
"Southport","43757","Unaltered","LD","21707","LD","25823","3"
"Spelthorne","47304","Unaltered","Con","22261","Con","26270","7"
"Stafford","50239","Unaltered","Con","22047","Con","29028","5"
"Staffordshire Moorlands","43815","Unaltered","Con","19793","Con","23373","2"
"Staffordshire South","50440","Unaltered","Con","26834","Con","26834","1"
"Stalybridge & Hyde","40879","Unaltered","Lab","16189","Lab","22049","5"
"Stevenage","44651","Unaltered","Con","18491","Con","23710","8"
"Stirling","46841","Unaltered","Lab","19558","Lab","23673","4"
"Stockport","39128","Unaltered","Lab","16697","Lab","22344","5"
"Stockton North","39498","Altered","Lab","16923","Con","19456","6"
"Stockton South","50284","Unaltered","Con","19577","Con","26461","6"
"Stoke-on-Trent Central","32470","Unaltered","Lab","12605","Lab","16152","9"
"Stoke-on-Trent North","40196","Unaltered","Lab","17815","Lab","24935","4"
"Stoke-on-Trent South","39852","Altered","Lab","15446","Con","19227","6"
"Stone","47229","Unaltered","Con","23890","Con","23890","1"
"Stourbridge","47234","Unaltered","Con","20153","Con","23952","5"
"Strangford","32505","Unaltered","DUP","14926","DUP","17020","5"
"Stratford-on-Avon","50542","Unaltered","Con","26052","Con","26052","1"
"Streatham","46837","Altered","Lab","20037","LD","26013","6"
"Stretford & Urmston","44910","Unaltered","Lab","21821","Lab","22519","3"
"Stroud","57973","Altered","Con","23679","Lab","30578","5"
"Suffolk Central & Ipswich North","53420","Unaltered","Con","27125","Con","27125","1"
"Suffolk Coastal","54893","Unaltered","Con","25475","Con","28631","3"
"Suffolk South","51416","Unaltered","Con","24550","Con","28187","2"
"Suffolk West","48089","Unaltered","Con","24312","Con","24312","1"
"Sunderland Central","42463","Unaltered","Lab","19495","Lab","23083","4"
"Surrey East","54640","Unaltered","Con","31007","Con","31007","1"
"Surrey Heath","54347","Unaltered","Con","31326","Con","31326","1"
"Surrey South West","57259","Unaltered","Con","33605","Con","33605","1"
"Sussex Mid","55855","Unaltered","Con","28329","Con","28329","1"
"Sutton & Cheam","48508","Unaltered","LD","22156","LD","25778","9"
"Sutton Coldfield","50589","Unaltered","Con","27303","Con","27303","1"
"Swansea East","32676","Unaltered","Lab","16819","Lab","16819","1"
"Swansea West","35593","Altered","Lab","12335","LD","20624","8"
"Swindon North","50295","Unaltered","Con","22408","Con","25792","4"
"Swindon South","47119","Unaltered","Con","19687","Con","23827","6"
"Tamworth","46390","Unaltered","Con","21238","Con","23491","3"
"Tatton","45231","Unaltered","Con","24687","Con","24687","1"
"Taunton Deane","58150","Unaltered","LD","28531","LD","31498","3"
"Telford","41310","Altered","Lab","15974","Con","23205","4"
"Tewkesbury","53961","Unaltered","Con","25472","Con","27786","4"
"Thanet North","43343","Unaltered","Con","22826","Con","22826","1"
"Thanet South","45933","Unaltered","Con","22043","Con","24572","2"
"Thirsk & Malton","38142","Unaltered","Con","20167","Con","20167","1"
"Thornbury & Yate","48226","Unaltered","LD","25032","LD","25032","1"
"Thurrock","45821","Unaltered","Con","16869","Con","22995","4"
"Tiverton & Honiton","54894","Unaltered","Con","27614","Con","27614","1"
"Tonbridge & Malling","51314","Unaltered","Con","29723","Con","29723","1"
"Tooting","50655","Altered","Lab","22038","Con","25771","6"
"Torbay","49210","Unaltered","LD","23126","LD","26825","5"
"Torfaen","37640","Unaltered","Lab","16847","Lab","19173","7"
"Totnes","47843","Unaltered","Con","21940","Con","25454","6"
"Tottenham","40687","Unaltered","Lab","24128","Lab","24128","1"
"Truro & Falmouth","48768","Altered","Con","20349","LD","25469","5"
"Tunbridge Wells","50320","Unaltered","Con","28302","Con","28302","1"
"Twickenham","59721","Unaltered","LD","32483","LD","32483","1"
"Tynemouth","52668","Unaltered","Lab","23860","Lab","32116","5"
"Tyneside North","46405","Unaltered","Lab","23505","Lab","23505","1"
"Tyrone West","37275","Unaltered","SF","18050","SF","23771","5"
"Ulster Mid","40842","Unaltered","SF","21239","SF","21239","1"
"Upper Bann","41383","Unaltered","DUP","14000","DUP","14910","4"
"Uxbridge & Ruislip South","45076","Unaltered","Con","21758","Con","23596","5"
"Vale of Clwyd","35534","Unaltered","Lab","15017","Lab","19867","6"
"Vale of Glamorgan","48667","Unaltered","Con","20341","Con","25714","6"
"Vauxhall","43191","Unaltered","Lab","21498","Lab","21641","4"
"Wakefield","44444","Altered","Lab","17454","Con","22042","5"
"Wallasey","41654","Unaltered","Lab","21578","Lab","21578","1"
"Walsall North","36187","Altered","Lab","13385","Con","20655","6"
"Walsall South","40882","Unaltered","Lab","16211","Lab","20618","5"
"Walthamstow","40994","Unaltered","Lab","21252","Lab","21252","1"
"Wansbeck","38273","Unaltered","Lab","17548","Lab","17849","7"
"Wantage","56341","Unaltered","Con","29284","Con","29284","1"
"Warley","38270","Unaltered","Lab","20240","Lab","20240","1"
"Warrington North","44211","Unaltered","Lab","20135","Lab","24744","3"
"Warrington South","54874","Altered","Con","19641","Lab","29754","4"
"Warwick & Leamington","49032","Unaltered","Con","20876","Con","28515","5"
"Warwickshire North","47265","Unaltered","Con","18993","Con","25476","5"
"Washington & Sunderland West","37334","Unaltered","Lab","19615","Lab","19615","1"
"Watford","55208","Altered","Con","19291","LD","33291","5"
"Waveney","51141","Unaltered","Con","20571","Con","26685","5"
"Wealden","54969","Unaltered","Con","31090","Con","31090","1"
"Weaver Vale","43990","Unaltered","Con","16953","Con","27230","8"
"Wellingborough","51661","Unaltered","Con","24918","Con","27044","7"
"Wells","55864","Unaltered","LD","24560","LD","29389","5"
"Welwyn Hatfield","48972","Unaltered","Con","27894","Con","27894","1"
"Wentworth & Dearne","42106","Unaltered","Lab","21316","Lab","21316","1"
"West Bromwich East","37950","Unaltered","Lab","17657","Lab","21400","5"
"West Bromwich West","36171","Unaltered","Lab","16263","Lab","18417","4"
"West Ham","46951","Unaltered","Lab","29422","Lab","29422","1"
"Westminster North","39598","Unaltered","Lab","17377","Lab","20641","9"
"Westmorland & Lonsdale","51487","Unaltered","LD","30896","LD","30896","1"
"Weston-Super-Mare","52716","Altered","Con","23356","LD","26437","6"
"Wigan","44140","Unaltered","Lab","21404","Lab","26496","4"
"Wiltshire North","48699","Unaltered","Con","25114","Con","25114","1"
"Wiltshire South West","49018","Unaltered","Con","25321","Con","25321","1"
"Wimbledon","47395","Unaltered","Con","23257","Con","24171","4"
"Winchester","55955","Unaltered","Con","27155","Con","28797","3"
"Windsor","49588","Unaltered","Con","30172","Con","30172","1"
"Wirral South","39906","Altered","Lab","16276","Con","22016","3"
"Wirral West","39372","Unaltered","Con","16726","Con","22588","5"
"Witham","46835","Unaltered","Con","24448","Con","24448","1"
"Witney","57769","Unaltered","Con","33973","Con","33973","1"
"Woking","52786","Unaltered","Con","26551","Con","26551","1"
"Wokingham","54528","Unaltered","Con","28754","Con","28754","1"
"Wolverhampton North East","34894","Altered","Lab","14448","Con","17179","5"
"Wolverhampton South East","34707","Unaltered","Lab","16505","Lab","19165","4"
"Wolverhampton South West","40160","Unaltered","Con","16344","Con","21030","4"
"Worcester","48974","Unaltered","Con","19358","Con","24291","8"
"Worcestershire Mid","50931","Unaltered","Con","27770","Con","27770","1"
"Worcestershire West","54093","Unaltered","Con","27213","Con","27213","1"
"Workington","39259","Unaltered","Lab","17865","Lab","23183","5"
"Worsley & Eccles South","41701","Unaltered","Lab","17892","Lab","21283","4"
"Worthing East & Shoreham","48397","Unaltered","Con","23458","Con","26831","4"
"Worthing West","49123","Unaltered","Con","25416","Con","25416","1"
"Wrekin, The","45968","Unaltered","Con","21922","Con","23427","2"
"Wrexham","32976","Unaltered","Lab","12161","Lab","17451","5"
"Wycombe","48151","Unaltered","Con","23423","Con","25546","4"
"Wyre & Preston North","51308","Unaltered","Con","26877","Con","26877","1"
"Wyre Forest","50899","Unaltered","Con","18793","Con","24418","5"
"Wythenshawe & Sale East","40751","Altered","Lab","17987","Con","20243","5"
"Yeovil","57160","Unaltered","LD","31843","LD","31843","1"
"Ynys Mon","34444","Unaltered","Lab","11490","Lab","18890","6"
"York Central","46483","Altered","Lab","18573","Con","26206","6"
"York Outer","53300","Altered","Con","22912","LD","28332","4"
"Yorkshire East","51254","Unaltered","Con","24328","Con","26193","4"
